X	Y	Z
9.149	-1.110	0.001
9.222	-1.122	0.000
9.121	-1.090	0.039
9.147	-1.107	0.086
9.127	-1.114	0.132
9.271	-1.096	0.015
9.236	-1.113	0.052
9.206	-1.115	0.099
9.280	-1.096	0.073
9.248	-1.110	0.129
9.083	-1.063	0.012
9.079	-1.027	0.050
9.049	-0.975	0.038
9.085	-1.043	0.099
9.041	-0.992	0.085
9.079	-1.005	0.131
9.125	-1.089	0.178
9.151	-1.104	0.222
9.179	-1.115	0.150
9.279	-1.089	0.167
9.224	-1.122	0.189
9.194	-1.130	0.229
9.272	-1.098	0.222
9.243	-1.128	0.262
9.087	-1.035	0.173
9.078	-0.961	0.162
9.087	-1.025	0.230
9.106	-1.076	0.225
9.084	-0.976	0.214
9.134	-1.092	0.270
9.127	-1.089	0.320
9.150	-1.105	0.370
9.195	-1.124	0.288
9.278	-1.102	0.290
9.237	-1.127	0.318
9.203	-1.128	0.355
9.261	-1.109	0.359
9.088	-1.032	0.302
9.083	-0.990	0.268
9.097	-0.961	0.309
9.104	-1.057	0.353
9.088	-0.999	0.341
9.087	-1.005	0.391
9.106	-0.960	0.372
9.152	-1.105	0.425
9.145	-1.097	0.484
9.208	-1.128	0.406
9.188	-1.131	0.455
9.278	-1.101	0.405
9.239	-1.120	0.453
9.198	-1.127	0.509
9.279	-1.104	0.485
9.096	-1.010	0.444
9.106	-0.961	0.428
9.112	-1.051	0.487
9.098	-0.972	0.484
9.280	-0.966	0.422
9.311	-1.066	0.020
9.343	-1.029	0.039
9.342	-0.962	0.019
9.340	-0.984	0.070
9.314	-1.058	0.079
9.309	-1.059	0.135
9.328	-0.961	0.116
9.311	-1.059	0.197
9.326	-1.017	0.167
9.320	-0.962	0.175
9.310	-1.058	0.247
9.325	-1.012	0.229
9.310	-0.964	0.229
9.336	-1.048	0.292
9.330	-0.992	0.278
9.283	-0.967	0.275
9.322	-0.971	0.326
9.303	-1.071	0.337
9.326	-1.024	0.350
9.326	-0.980	0.379
9.311	-1.063	0.422
9.328	-1.026	0.454
9.327	-0.979	0.430
9.308	-1.082	0.519
9.342	-1.036	0.507
9.311	-0.960	0.484
9.016	-0.927	0.027
9.005	-0.873	0.034
9.016	-0.913	0.077
9.054	-0.848	0.038
9.061	-0.890	0.071
9.113	-0.859	0.034
9.064	-0.946	0.083
9.083	-0.910	0.118
9.114	-0.881	0.086
9.130	-0.888	0.135
9.276	-0.955	0.038
9.243	-0.899	0.027
9.280	-0.900	0.071
9.163	-0.866	0.038
9.212	-0.874	0.061
9.242	-0.896	0.116
9.167	-0.868	0.102
9.108	-0.931	0.197
9.150	-0.881	0.183
9.104	-0.945	0.259
9.132	-0.904	0.235
9.267	-0.957	0.146
9.280	-0.901	0.151
9.191	-0.878	0.151
9.212	-0.882	0.197
9.175	-0.897	0.261
9.263	-0.901	0.205
9.237	-0.896	0.250
9.137	-0.915	0.295
9.133	-0.921	0.351
9.183	-0.897	0.316
9.273	-0.913	0.287
9.276	-0.949	0.327
9.239	-0.900	0.326
9.179	-0.897	0.372
9.238	-0.897	0.379
9.140	-0.933	0.399
9.150	-0.922	0.451
9.136	-0.936	0.503
9.204	-0.899	0.420
9.279	-0.910	0.407
9.252	-0.909	0.451
9.179	-0.902	0.486
9.249	-0.957	0.506
9.235	-0.905	0.501
9.312	-0.922	0.028
9.369	-0.918	0.038
9.330	-0.916	0.082
9.307	-0.933	0.366
9.291	-0.914	0.497
7.227	-2.419	3.306
7.215	-2.332	3.273
6.943	-1.667	2.822
6.901	-1.624	2.817
6.964	-1.636	2.786
6.871	-1.576	2.806
6.971	-1.597	2.821
7.096	-1.606	2.751
7.040	-1.624	2.809
7.147	-1.612	2.727
7.174	-1.653	2.757
7.196	-1.602	2.759
7.134	-1.613	2.785
7.180	-1.613	2.821
7.162	-1.562	2.719
7.212	-1.540	2.753
7.159	-1.569	2.776
7.126	-1.552	2.815
7.230	-1.592	2.797
7.189	-1.558	2.822
7.133	-1.516	2.775
7.152	-1.492	2.820
7.168	-1.734	3.001
6.905	-1.666	2.878
6.963	-1.664	2.876
6.933	-1.601	2.855
6.973	-1.694	2.919
6.890	-1.612	2.894
6.953	-1.616	2.903
6.937	-1.655	2.938
6.971	-1.600	2.949
6.841	-1.541	2.906
6.810	-1.509	2.944
6.863	-1.542	2.854
6.931	-1.546	2.852
6.976	-1.576	2.879
6.869	-1.571	2.949
6.929	-1.576	2.921
6.863	-1.495	2.901
6.885	-1.518	2.942
6.953	-1.473	2.918
6.972	-1.689	3.000
6.894	-1.602	2.995
6.948	-1.622	2.990
6.976	-1.651	3.041
6.941	-1.612	3.053
6.813	-1.589	2.977
6.846	-1.548	3.010
6.846	-1.482	2.966
6.906	-1.546	2.987
6.897	-1.473	2.964
6.937	-1.505	2.974
6.975	-1.475	2.994
6.865	-1.589	3.036
6.902	-1.554	3.043
6.971	-1.579	3.026
6.902	-1.499	3.037
6.945	-1.533	3.022
6.951	-1.482	3.044
7.026	-1.668	2.877
7.001	-1.622	2.857
7.058	-1.624	2.883
7.022	-1.722	2.900
7.086	-1.685	2.945
6.999	-1.644	2.916
7.028	-1.605	2.933
7.078	-1.611	2.936
7.144	-1.683	2.926
7.129	-1.620	2.949
7.039	-1.542	2.867
7.085	-1.555	2.852
7.010	-1.558	2.916
7.088	-1.558	2.917
6.990	-1.510	2.901
7.033	-1.505	2.929
7.081	-1.484	2.916
7.131	-1.543	2.870
7.232	-1.596	2.849
7.183	-1.542	2.886
7.118	-1.485	2.879
7.220	-1.523	2.852
7.211	-1.474	2.847
7.156	-1.554	2.933
7.161	-1.505	2.912
7.120	-1.518	2.944
7.227	-1.514	2.903
7.201	-1.506	2.950
7.046	-1.717	3.013
6.998	-1.626	3.004
7.084	-1.637	2.979
7.007	-1.694	3.045
7.100	-1.709	3.019
7.050	-1.705	3.070
7.022	-1.602	3.047
7.085	-1.629	3.078
7.118	-1.714	2.971
7.162	-1.681	2.982
7.122	-1.660	3.006
7.119	-1.604	3.008
7.165	-1.616	2.984
7.198	-1.677	3.034
7.146	-1.636	3.068
7.030	-1.569	2.978
7.104	-1.573	2.971
7.053	-1.538	3.013
7.007	-1.521	2.974
7.032	-1.472	3.006
7.066	-1.525	2.965
7.084	-1.482	2.982
7.005	-1.543	3.047
7.088	-1.584	3.045
7.060	-1.542	3.072
7.002	-1.481	3.051
7.088	-1.505	3.035
7.051	-1.475	3.078
7.103	-1.473	3.076
7.148	-1.559	2.999
7.194	-1.574	2.972
7.149	-1.478	2.977
7.130	-1.572	3.076
7.175	-1.590	3.046
7.175	-1.538	3.065
7.138	-1.495	3.044
6.828	-1.456	2.924
6.844	-1.370	2.944
6.886	-1.413	2.914
6.951	-1.414	2.940
6.905	-1.376	2.943
6.900	-1.327	2.951
6.842	-1.423	2.971
6.841	-1.422	3.058
6.937	-1.427	3.007
6.877	-1.383	2.990
6.936	-1.376	2.984
6.892	-1.462	3.069
6.976	-1.419	3.043
6.928	-1.408	3.062
6.873	-1.377	3.042
6.955	-1.370	3.032
6.976	-1.325	3.047
6.973	-1.279	3.076
6.978	-1.456	2.872
6.999	-1.451	2.950
7.057	-1.436	2.916
7.103	-1.444	2.945
7.048	-1.388	2.945
7.086	-1.350	2.932
7.128	-1.417	2.845
7.164	-1.461	2.859
7.191	-1.408	2.839
7.209	-1.431	2.882
7.139	-1.364	2.842
7.146	-1.449	2.916
7.192	-1.401	2.937
6.990	-1.409	2.990
7.038	-1.419	3.006
7.104	-1.391	2.967
7.048	-1.347	3.012
7.086	-1.449	3.025
7.060	-1.418	3.063
7.015	-1.386	3.036
7.097	-1.373	3.032
7.158	-1.413	2.982
7.200	-1.377	2.992
7.143	-1.444	3.023
7.153	-1.447	3.078
7.220	-1.462	3.038
7.172	-1.410	3.047
7.151	-1.362	3.043
7.011	-1.287	3.015
7.094	-1.321	2.988
7.030	-1.333	3.059
7.084	-1.330	3.059
7.036	-1.265	3.053
7.220	-1.257	3.006
7.166	-1.304	3.044
7.131	-1.327	3.078
7.104	-1.282	3.078
7.202	-1.339	3.027
7.132	-1.248	3.053
7.177	-1.260	3.077
6.950	-1.546	3.099
6.930	-1.498	3.089
7.009	-1.638	3.091
7.007	-1.606	3.134
7.126	-1.633	3.120
7.194	-1.629	3.091
6.994	-1.572	3.093
7.044	-1.568	3.114
7.103	-1.578	3.126
7.002	-1.519	3.094
7.101	-1.516	3.109
7.083	-1.476	3.139
7.198	-1.573	3.115
7.160	-1.495	3.090
7.193	-1.476	3.134
7.225	-1.599	3.167
7.188	-1.553	3.171
7.230	-1.547	3.201
7.113	-1.508	3.165
7.153	-1.484	3.189
7.220	-1.519	3.153
7.223	-1.516	3.294
7.175	-1.498	3.321
7.231	-1.485	3.334
6.838	-1.390	3.099
6.894	-1.410	3.102
6.941	-1.447	3.103
6.974	-1.408	3.137
6.934	-1.371	3.126
7.001	-1.450	3.095
7.039	-1.414	3.119
7.022	-1.373	3.143
7.094	-1.396	3.100
7.096	-1.427	3.165
7.134	-1.448	3.126
7.209	-1.428	3.132
7.157	-1.390	3.106
7.163	-1.431	3.174
7.089	-1.336	3.109
7.189	-1.305	3.097
7.231	-1.430	3.218
7.165	-1.457	3.287
7.209	-1.421	3.296
7.223	-1.032	3.206
7.227	-0.976	3.209
7.173	-1.007	3.251
7.228	-1.012	3.266
7.175	-0.965	3.297
7.155	-0.962	3.378
7.195	-1.051	3.438
7.156	-0.999	3.422
7.228	-1.005	3.408
7.202	-0.961	3.405
7.232	-0.990	3.473
9.313	-3.081	2.560
9.380	-3.056	2.563
9.952	-3.129	2.533
9.971	-3.079	2.548
10.008	-3.115	2.518
10.019	-3.070	2.564
9.149	-1.098	0.535
9.132	-1.096	0.588
9.151	-1.095	0.638
9.182	-1.125	0.576
9.248	-1.122	0.523
9.240	-1.121	0.574
9.194	-1.128	0.629
9.280	-1.103	0.608
9.246	-1.118	0.643
9.087	-1.036	0.530
9.096	-1.047	0.579
9.113	-0.993	0.536
9.125	-0.965	0.578
9.112	-1.041	0.630
9.111	-0.986	0.625
9.149	-1.092	0.697
9.149	-1.089	0.754
9.194	-1.129	0.679
9.241	-1.120	0.698
9.200	-1.121	0.728
9.279	-1.112	0.734
9.242	-1.140	0.774
9.111	-1.027	0.678
9.113	-0.966	0.675
9.112	-1.056	0.734
9.117	-0.997	0.728
9.134	-0.970	0.769
9.152	-1.089	0.812
9.186	-1.129	0.788
9.214	-1.126	0.832
9.280	-1.115	0.801
9.163	-1.104	0.859
9.207	-1.132	0.894
9.261	-1.122	0.854
9.280	-1.113	0.901
9.116	-1.028	0.783
9.121	-1.053	0.836
9.135	-0.993	0.829
9.138	-1.061	0.887
9.133	-1.008	0.882
9.160	-0.963	0.862
9.170	-1.101	0.918
9.203	-1.129	0.949
9.259	-1.132	0.967
9.166	-1.100	0.982
9.214	-1.123	1.004
9.266	-1.122	1.019
9.139	-1.027	0.934
9.152	-0.975	0.922
9.133	-1.057	0.989
9.148	-0.994	0.975
9.133	-1.016	1.030
9.156	-1.076	1.030
9.166	-0.962	1.017
9.213	-1.123	1.062
9.176	-1.089	1.087
9.269	-1.112	1.068
9.211	-1.110	1.119
9.266	-1.125	1.123
9.149	-1.046	1.071
9.146	-0.996	1.084
9.138	-1.036	1.121
9.151	-1.070	1.156
9.151	-0.993	1.148
9.194	-1.117	1.173
9.183	-1.089	1.214
9.245	-1.120	1.169
9.237	-1.117	1.220
9.179	-1.088	1.265
9.240	-1.122	1.270
9.146	-1.030	1.198
9.144	-1.038	1.261
9.152	-0.992	1.238
9.173	-0.965	1.190
9.165	-0.982	1.286
9.213	-1.106	1.313
9.280	-1.104	1.302
9.253	-1.111	1.350
9.197	-1.091	1.367
9.252	-1.132	1.410
9.151	-1.040	1.321
9.140	-1.036	1.378
9.158	-0.993	1.339
9.174	-1.066	1.411
9.178	-0.963	1.374
9.165	-1.006	1.411
9.213	-1.100	1.430
9.239	-1.115	1.470
9.189	-1.089	1.492
9.266	-1.123	1.528
9.217	-1.100	1.536
9.172	-1.049	1.462
9.179	-0.965	1.438
9.158	-1.038	1.509
9.174	-0.993	1.481
9.165	-0.998	1.541
9.193	-0.960	1.524
8.213	-2.654	2.565
8.220	-2.579	2.558
8.750	-2.628	2.035
8.969	-2.533	1.924
8.818	-2.631	2.050
8.955	-2.628	1.961
9.023	-2.641	1.988
8.941	-2.647	2.007
9.008	-2.660	2.036
8.882	-2.552	1.970
8.818	-2.597	2.010
8.806	-2.570	2.054
8.852	-2.563	2.036
8.939	-2.567	1.967
9.014	-2.613	1.947
8.988	-2.595	1.987
8.918	-2.517	1.954
9.011	-2.539	1.958
8.926	-2.582	2.021
9.015	-2.562	2.020
8.970	-2.569	2.048
8.951	-2.525	1.995
8.939	-2.507	2.054
8.986	-2.520	2.041
9.063	-2.594	1.949
9.048	-2.601	2.007
9.084	-2.563	2.026
9.041	-2.517	1.997
9.047	-2.537	2.054
9.133	-2.547	1.998
8.923	-2.442	2.045
9.015	-2.458	2.022
8.939	-2.376	2.020
9.003	-2.404	2.023
8.958	-2.329	2.007
9.023	-2.345	2.003
9.004	-2.285	2.022
9.046	-2.378	2.038
9.277	-2.488	1.942
9.271	-2.435	1.948
9.154	-2.353	2.037
8.765	-2.654	2.123
8.745	-2.603	2.109
8.758	-2.558	2.072
8.695	-2.497	2.149
8.744	-2.542	2.148
8.738	-2.497	2.181
8.767	-2.601	2.196
8.740	-2.546	2.211
8.762	-2.501	2.228
8.964	-2.762	2.173
9.007	-2.765	2.205
9.087	-2.864	2.134
9.084	-2.819	2.174
9.140	-2.781	2.168
9.200	-2.817	2.139
9.247	-2.837	2.138
9.212	-2.757	2.148
9.259	-2.780	2.134
9.270	-2.810	2.175
9.103	-2.764	2.235
9.101	-2.822	2.248
9.144	-2.824	2.297
9.071	-2.811	2.288
9.052	-2.756	2.280
9.118	-2.781	2.294
9.189	-2.757	2.217
9.217	-2.816	2.199
9.244	-2.768	2.191
9.177	-2.767	2.307
9.238	-2.813	2.266
9.233	-2.762	2.279
8.833	-2.677	2.076
8.884	-2.670	2.070
8.854	-2.635	2.094
8.891	-2.740	2.164
8.817	-2.658	2.125
8.828	-2.642	2.176
8.880	-2.657	2.179
8.951	-2.656	2.091
8.908	-2.630	2.099
8.797	-2.593	2.103
8.875	-2.595	2.070
8.835	-2.561	2.096
8.877	-2.586	2.119
8.795	-2.509	2.056
8.789	-2.540	2.114
8.888	-2.540	2.073
8.854	-2.501	2.066
8.830	-2.578	2.143
8.866	-2.596	2.176
8.791	-2.530	2.170
8.831	-2.501	2.157
8.895	-2.546	2.142
8.868	-2.525	2.181
8.939	-2.578	2.114
9.021	-2.575	2.076
8.960	-2.513	2.110
9.010	-2.512	2.086
8.916	-2.605	2.172
8.948	-2.564	2.169
9.023	-2.567	2.137
8.917	-2.499	2.144
9.006	-2.516	2.137
8.831	-2.724	2.191
8.877	-2.698	2.214
8.928	-2.729	2.205
8.960	-2.698	2.228
8.938	-2.643	2.207
9.013	-2.688	2.227
8.985	-2.639	2.225
8.809	-2.566	2.201
8.890	-2.617	2.215
8.895	-2.561	2.221
8.816	-2.513	2.221
8.863	-2.519	2.242
8.879	-2.583	2.270
8.844	-2.520	2.290
8.943	-2.595	2.230
8.992	-2.581	2.205
8.909	-2.501	2.198
8.958	-2.514	2.189
8.943	-2.546	2.239
9.018	-2.507	2.207
9.000	-2.543	2.244
8.958	-2.563	2.302
9.005	-2.597	2.297
8.905	-2.534	2.279
8.941	-2.502	2.262
9.018	-2.531	2.294
9.104	-2.625	2.119
9.084	-2.700	2.149
9.158	-2.731	2.159
9.209	-2.691	2.178
9.249	-2.720	2.161
9.080	-2.602	2.076
9.064	-2.561	2.108
9.057	-2.497	2.108
9.134	-2.533	2.118
9.065	-2.747	2.189
9.064	-2.697	2.204
9.043	-2.730	2.235
9.111	-2.722	2.189
9.143	-2.730	2.230
9.106	-2.655	2.214
9.151	-2.676	2.237
9.083	-2.707	2.277
9.147	-2.724	2.286
9.118	-2.628	2.258
9.128	-2.659	2.310
9.193	-2.712	2.245
9.238	-2.713	2.214
9.275	-2.730	2.243
9.168	-2.646	2.183
9.216	-2.637	2.245
9.269	-2.667	2.214
9.200	-2.698	2.298
9.252	-2.693	2.277
9.257	-2.644	2.278
9.051	-2.579	2.218
9.051	-2.576	2.291
9.117	-2.579	2.268
9.057	-2.497	2.259
9.098	-2.499	2.287
9.225	-2.587	2.203
9.158	-2.537	2.246
9.182	-2.579	2.259
9.155	-2.611	2.305
9.226	-2.595	2.300
9.189	-2.497	2.250
9.143	-2.695	2.342
9.049	-2.674	2.339
9.210	-2.711	2.353
9.260	-2.709	2.352
9.184	-2.665	2.336
9.240	-2.661	2.323
9.278	-2.664	2.366
9.238	-2.634	2.375
9.279	-2.649	2.418
9.111	-2.611	2.374
9.136	-2.567	2.396
9.109	-2.507	2.391
9.190	-2.595	2.342
9.271	-2.594	2.341
9.231	-2.580	2.373
9.208	-2.541	2.334
9.273	-2.539	2.343
9.272	-2.595	2.405
9.185	-2.552	2.379
9.158	-2.529	2.425
9.248	-2.532	2.387
8.745	-2.484	2.092
8.714	-2.451	2.118
8.767	-2.440	2.109
8.747	-2.409	2.172
8.731	-2.444	2.224
8.760	-2.460	2.262
8.767	-2.365	2.205
8.816	-2.473	2.107
8.895	-2.465	2.082
8.865	-2.491	2.117
8.814	-2.411	2.109
8.892	-2.405	2.074
8.783	-2.475	2.146
8.864	-2.442	2.126
8.877	-2.468	2.172
8.951	-2.464	2.084
9.009	-2.451	2.079
8.946	-2.407	2.081
9.023	-2.403	2.079
8.985	-2.402	2.119
8.955	-2.466	2.149
8.915	-2.433	2.127
9.016	-2.466	2.134
8.992	-2.443	2.183
9.021	-2.378	2.151
8.969	-2.362	2.061
8.791	-2.469	2.202
8.831	-2.466	2.236
8.887	-2.440	2.214
8.782	-2.426	2.231
8.855	-2.404	2.229
8.813	-2.443	2.278
8.880	-2.465	2.260
8.827	-2.395	2.293
8.896	-2.394	2.259
8.883	-2.408	2.309
8.946	-2.467	2.226
9.000	-2.466	2.246
8.983	-2.417	2.246
8.927	-2.447	2.271
8.993	-2.487	2.305
8.971	-2.438	2.301
8.936	-2.402	2.292
9.023	-2.398	2.274
8.980	-2.372	2.297
8.804	-2.338	2.258
9.023	-2.353	2.207
8.919	-2.339	2.287
8.986	-2.315	2.297
8.911	-2.289	2.308
8.969	-2.240	2.301
9.014	-2.245	2.280
9.076	-2.469	2.068
9.054	-2.433	2.109
9.100	-2.401	2.110
9.053	-2.482	2.168
9.111	-2.470	2.122
9.088	-2.437	2.175
9.066	-2.374	2.181
9.142	-2.385	2.144
9.186	-2.375	2.169
9.073	-2.358	2.121
9.044	-2.438	2.202
9.074	-2.432	2.242
9.147	-2.454	2.237
9.030	-2.451	2.289
9.078	-2.458	2.310
9.133	-2.454	2.305
9.064	-2.395	2.310
9.144	-2.393	2.295
9.183	-2.419	2.232
9.152	-2.378	2.225
9.113	-2.328	2.191
9.080	-2.356	2.262
9.215	-2.339	2.196
9.213	-2.310	2.237
9.276	-2.362	2.199
9.267	-2.312	2.248
9.234	-2.264	2.269
9.271	-2.268	2.311
9.023	-2.190	2.311
8.958	-2.405	2.337
9.013	-2.385	2.338
9.019	-2.463	2.377
9.017	-2.468	2.436
9.014	-2.410	2.398
8.910	-2.356	2.340
8.948	-2.320	2.343
8.991	-2.345	2.370
8.942	-2.275	2.364
8.986	-2.274	2.336
9.024	-2.271	2.369
9.021	-2.345	2.417
8.984	-2.290	2.412
8.948	-2.452	2.475
8.981	-2.424	2.500
8.979	-2.279	2.486
9.011	-2.368	2.515
9.070	-2.451	2.370
9.124	-2.434	2.356
9.082	-2.402	2.374
9.118	-2.375	2.344
9.045	-2.370	2.380
9.046	-2.414	2.439
9.151	-2.375	2.390
9.118	-2.386	2.438
9.164	-2.495	2.341
9.206	-2.467	2.337
9.229	-2.432	2.369
9.177	-2.426	2.358
9.203	-2.372	2.357
9.259	-2.389	2.356
9.054	-2.349	2.333
9.117	-2.319	2.354
9.071	-2.242	2.356
9.125	-2.249	2.322
9.064	-2.315	2.382
9.075	-2.359	2.419
9.143	-2.341	2.438
9.103	-2.306	2.425
9.052	-2.274	2.417
9.167	-2.297	2.342
9.216	-2.277	2.339
9.268	-2.247	2.367
9.182	-2.338	2.405
9.227	-2.305	2.403
9.174	-2.260	2.393
9.055	-2.434	2.492
9.130	-2.451	2.495
9.067	-2.375	2.471
9.132	-2.390	2.489
9.061	-2.314	2.459
9.144	-2.336	2.500
9.100	-2.306	2.495
9.053	-2.253	2.464
9.150	-2.272	2.471
9.052	-2.336	2.510
9.050	-2.277	2.518
9.197	-2.319	2.499
9.184	-2.273	2.518
8.927	-2.224	2.340
9.019	-2.236	2.332
8.966	-2.230	2.375
8.946	-2.159	2.342
8.976	-2.193	2.407
9.007	-2.232	2.416
8.975	-2.049	2.372
9.014	-2.021	2.354
8.979	-2.033	2.438
9.024	-1.993	2.419
9.003	-2.072	2.466
8.960	-2.071	2.500
9.020	-2.020	2.464
8.978	-2.024	2.496
9.085	-2.119	2.333
9.069	-2.211	2.431
9.067	-2.145	2.408
9.165	-2.170	2.428
9.064	-2.053	2.372
9.138	-2.081	2.329
9.073	-2.003	2.358
9.130	-2.031	2.342
9.070	-2.074	2.419
9.069	-2.017	2.411
9.119	-2.039	2.396
9.139	-1.995	2.376
9.150	-2.029	2.435
9.179	-2.051	2.336
9.191	-2.030	2.387
9.197	-1.988	2.417
9.238	-1.997	2.387
9.120	-2.226	2.479
9.072	-2.228	2.517
9.159	-2.130	2.530
9.040	-2.106	2.484
9.115	-2.054	2.500
9.073	-1.993	2.460
9.124	-1.984	2.460
9.054	-2.049	2.546
9.138	-2.062	2.550
9.090	-2.006	2.560
9.146	-2.001	2.541
9.184	-2.064	2.464
9.200	-2.033	2.500
9.222	-2.017	2.458
9.243	-2.085	2.510
9.202	-2.047	2.550
9.246	-1.999	2.507
7.529	-1.097	2.055
7.657	-1.094	1.977
7.617	-1.095	2.045
7.727	-1.123	2.033
7.688	-1.092	2.024
7.595	-1.008	1.987
7.549	-1.052	2.033
7.596	-1.085	1.998
7.615	-1.044	2.027
7.550	-0.992	2.016
7.587	-1.003	2.054
7.641	-1.028	1.986
7.678	-0.980	1.957
7.666	-1.026	2.048
7.696	-1.032	1.997
7.736	-1.074	2.034
7.624	-0.969	2.053
7.672	-0.981	2.028
7.983	-1.730	2.272
8.084	-1.908	2.269
8.108	-1.858	2.251
8.052	-1.812	2.247
8.005	-1.762	2.239
8.056	-1.757	2.247
8.090	-1.745	2.198
8.002	-1.828	2.283
8.062	-1.797	2.308
8.106	-1.799	2.253
8.059	-1.734	2.292
8.125	-1.780	2.298
8.148	-1.825	2.271
7.908	-1.703	2.239
7.934	-1.612	2.188
7.881	-1.642	2.237
7.931	-1.655	2.225
7.921	-1.600	2.243
7.992	-1.648	2.240
7.926	-1.698	2.290
7.984	-1.666	2.305
7.884	-1.606	2.284
7.953	-1.635	2.273
7.984	-1.601	2.292
7.981	-1.538	2.214
