X	Y	Z
9.14850044	-1.11025	0.00099992
9.22249985	-1.12224996	0
9.12125015	-1.09025002	0.03899991
9.14725018	-1.15775001	0.10199999
9.14675045	-1.10650003	0.08574998
9.12650013	-1.11399996	0.13224995
9.27099991	-1.09625006	0.01499998
9.23624992	-1.1135	0.05174994
9.20600033	-1.11524999	0.09899997
9.27974987	-1.09625006	0.07299995
9.24750042	-1.11049998	0.12949991
9.08325005	-1.06324995	0.01249992
9.07925034	-1.02674997	0.05024993
9.04899979	-0.97500002	0.03799998
9.08450031	-1.04324996	0.09899997
9.04125023	-0.99150002	0.08499991
9.07900047	-1.00450003	0.13074994
9.12524986	-1.08850002	0.17849994
9.15100002	-1.10424995	0.222
9.17850018	-1.11450005	0.14999998
9.27925014	-1.08924997	0.16699994
9.22375011	-1.12249994	0.18900001
9.19449997	-1.12950003	0.22899997
9.27175045	-1.09774995	0.2217499
9.24275017	-1.12849998	0.26224995
9.08724976	-1.03499997	0.17324996
9.07775021	-0.96074998	0.1624999
9.08699989	-1.02524996	0.2299999
9.10575008	-1.07599998	0.2249999
9.08399963	-0.97649997	0.21424995
9.13399982	-1.09249997	0.26999998
9.12724972	-1.08899999	0.3204999
9.14999962	-1.10450006	0.37024999
9.19474983	-1.12399995	0.28849995
9.27775002	-1.102	0.28999996
9.23674965	-1.12674999	0.31799996
9.20250034	-1.12849998	0.35474992
9.26099968	-1.1085	0.35874999
9.08775043	-1.03174996	0.30174994
9.08349991	-0.99024999	0.26849997
9.0965004	-0.9605	0.30874991
9.10449982	-1.05675006	0.35299993
9.08775043	-0.99900001	0.34099996
9.08749962	-1.00549996	0.39099991
9.10599995	-0.96025002	0.37199998
9.15174961	-1.10475004	0.42499995
9.14525032	-1.09749997	0.48399997
9.20849991	-1.12800002	0.40625
9.18799973	-1.13074994	0.45499992
9.27750015	-1.10074997	0.40549994
9.23925018	-1.12024999	0.45274997
9.19750023	-1.12699997	0.50924993
9.27925014	-1.10424995	0.48499995
9.08749962	-1.06474996	0.44424999
9.09574986	-1.01049995	0.44400001
9.10550022	-0.96074998	0.42799997
9.11225033	-1.051	0.48674995
9.09049988	-1.08724999	0.51424998
9.09774971	-0.97175002	0.48449993
9.27950001	-0.96600002	0.42174995
9.31075001	-1.06575	0.02024996
9.34325027	-1.02900004	0.03899991
9.34224987	-0.96224999	0.01899993
9.33950043	-0.98425001	0.06999993
9.39999962	-0.96724999	0.0457499
9.3135004	-1.05774999	0.07899999
9.30949974	-1.05900002	0.13474999
9.35124969	-1.02474999	0.12
9.32775021	-0.9605	0.11599993
9.31099987	-1.05850005	0.19674993
9.32575035	-1.01699996	0.16699994
9.31999969	-0.96174997	0.17474997
9.37349987	-0.98825002	0.15324996
9.3097496	-1.0575	0.24675
9.32450008	-1.01224995	0.22949994
9.3097496	-0.96375	0.22949994
9.3722496	-0.99325001	0.23074996
9.33600044	-1.04750001	0.29174995
9.3295002	-0.99225003	0.27849996
9.28324986	-0.96675003	0.27549994
9.32199955	-0.97074997	0.32599998
9.38175011	-1.01425004	0.28574991
9.30274963	-1.07149994	0.33724999
9.32649994	-1.02425003	0.35025001
9.32625008	-0.98025	0.37874997
9.31124973	-1.06274998	0.4224999
9.32750034	-1.02550006	0.45449996
9.32724953	-0.97899997	0.43024993
9.30825043	-1.08150005	0.51899993
9.34249973	-1.03550005	0.50699997
9.3114996	-0.96025002	0.48449993
8.95800018	-0.90974998	0.06774997
9.01599979	-0.92699999	0.02724993
9.00450039	-0.8725	0.0345
9.01624966	-0.91250002	0.07725
8.99400043	-0.95300001	0.12325
8.97350025	-0.90275002	0.12224996
9.00774956	-0.87	0.15699995
9.0539999	-0.84750003	0.03775
9.06050014	-0.88999999	0.07074999
9.11275005	-0.85900003	0.03399992
9.06400013	-0.94599998	0.08299994
9.08275032	-0.91049999	0.11774993
9.11375046	-0.88099998	0.08649993
9.13049984	-0.88824999	0.13474999
9.27600002	-0.95525002	0.03824997
9.24300003	-0.89924997	0.02724993
9.27974987	-0.90025002	0.07074999
9.16300011	-0.86624998	0.03775
9.21224976	-0.87424999	0.06149995
9.24199963	-0.89625001	0.1164999
9.16699982	-0.86825001	0.10224998
9.10774994	-0.93099999	0.19674993
9.14974976	-0.88099998	0.18274999
9.10375023	-0.94499999	0.25899994
9.13175011	-0.90425003	0.2349999
9.09049988	-0.875	0.23124991
9.26749992	-0.95674998	0.14649999
9.27950001	-0.90125	0.1509999
9.19149971	-0.87800002	0.1509999
9.21224976	-0.88249999	0.19749999
9.17475033	-0.89700001	0.2612499
9.26274967	-0.90149999	0.20474994
9.23725033	-0.89625001	0.24974988
9.13700008	-0.91500002	0.29499996
9.13325024	-0.92124999	0.35099995
9.18299961	-0.89749998	0.31649995
9.27324963	-0.91275001	0.28699994
9.27649975	-0.94875002	0.3269999
9.23900032	-0.89999998	0.32599998
9.17924976	-0.89700001	0.37224996
9.23849964	-0.89749998	0.37899995
9.14025021	-0.9325	0.39924991
9.15025043	-0.92224997	0.45074999
9.12300014	-0.87800002	0.40424991
9.13624954	-0.93624997	0.50274998
9.20400047	-0.89899999	0.41999996
9.27875042	-0.90974998	0.40674996
9.25224972	-0.90875	0.45149994
9.17949963	-0.90224999	0.48649997
9.24925041	-0.95725	0.50649995
9.23525047	-0.90525001	0.50099993
9.31175041	-0.92175001	0.02824997
9.36874962	-0.91825002	0.03799998
9.3295002	-0.91649997	0.08249998
9.36499977	-0.91900003	0.22049999
9.33275032	-0.92699999	0.3039999
9.30749989	-0.93274999	0.36574996
9.32800007	-0.92675	0.4174999
9.29074955	-0.91425002	0.49674994
7.2267499	-2.41899991	3.30649996
7.21525002	-2.33200002	3.273
6.94250011	-1.66725004	2.82174993
6.90075016	-1.62374997	2.81725001
6.96400023	-1.63625002	2.78574991
6.87099981	-1.57599998	2.80574989
6.97125006	-1.59675002	2.82075
7.09574986	-1.60625005	2.75149989
7.0397501	-1.62425005	2.80949998
7.14674997	-1.61150002	2.72749996
7.17374992	-1.65275002	2.75699997
7.19575024	-1.60175002	2.75899982
7.13425016	-1.61300004	2.78474998
7.1795001	-1.61300004	2.82149982
7.16174984	-1.56200004	2.71924996
7.21225023	-1.53974998	2.75349998
7.15850019	-1.56949997	2.77574992
7.12575006	-1.55225003	2.81549978
7.22975016	-1.59200001	2.79699993
7.18924999	-1.55774999	2.82224989
7.13275003	-1.51600003	2.77499986
7.15175009	-1.49249995	2.81999993
7.16750002	-1.7335	3.00125003
6.90525007	-1.66575003	2.87824988
6.96325016	-1.66425002	2.87649989
6.93349981	-1.60074997	2.85500002
